Class,cg-na,cg-npm,Pattern Name,count
io.questdb.griffin.engine.functions.eq.EqStrUuidFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,6,18,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastSymbolToStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.CurrentSchemasFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.TimestampShuffleFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,3,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.cast.CastDateToIntFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.eq.EqUuidStrFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,5,10,State;Factory Method;Decorator;(Object)Adapter,5
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,4,18,Factory Method;Template Method;Decorator;Bridge,5
io.questdb.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,8,12,Factory Method;Decorator;(Object)Adapter,5
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastCharToStrFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,4,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.groupby.SumLongGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastByteToStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.CurrentDatabaseFunctionFactory,3,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastShortToIntFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,2,10,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.date.MinuteOfHourFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.PIDoubleFunctionFactory,3,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.SessionUserFunctionFactory,3,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.RemDoubleFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.ToTimestampVCFunctionFactory,9,10,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastIntToLong256FunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastTimestampToShortFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.regex.MatchStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastIntToTimestampFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastIntToByteFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.AbsDoubleFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastCharToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.test.TestSumTDoubleGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastStrToRegProcedureFunctionFactory,3,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.CotDoubleFunctionFactory,4,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.FormatTypeFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDateToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.LeftFunctionFactory,8,13,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.groupby.MaxDoubleGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastStrToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.CountIntGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.conditional.CaseFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.str.TrimFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.date.TimestampAddFunctionFactory,27,23,State;Factory Method;Decorator;(Object)Adapter,9
io.questdb.griffin.engine.functions.cast.CastBooleanToByteFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.table.AllTablesFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.LogDoubleFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastByteToIntFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndFloatCFunctionFactory,2,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.date.ExtractFromTimestampFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastIntToDateFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.AvgBooleanGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.DivIntFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.CurrentSchemaFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndTimestampFunctionFactory,4,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.catalogue.PgGetSIExprFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.CountLongGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.date.ToDateFunctionFactory,11,10,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.catalogue.UserByIdCatalogueFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.AbsIntFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastDoubleToShortFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqLong256FunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastNullTypeFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastLongToByteFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.CountLong256GroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.PgClassFunctionFactory,51,12,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.MulFloatFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.SumDoubleGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastByteToDateFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqIntStrCFunctionFactory,2,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.RemIntFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.SubIntFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.rnd.RndLong256NFunctionFactory,4,10,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.eq.EqGeoHashGeoHashFunctionFactory,5,14,Factory Method;Decorator;Template Method,4
io.questdb.griffin.engine.functions.lt.LtCharFunctionFactory,5,12,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.AddLongFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.LengthBinFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.table.TableWriterMetricsFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastShortToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastLongToDoubleFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.NegIntFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.PgAttributeFunctionFactory,18,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastFloatToLongFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.MaxFloatGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.RemLongFunctionFactory,2,10,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.PgNamespaceFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.MulDoubleFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastBooleanToShortFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.PgGetKeywordsFunctionFactory,3,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.PgIsInRecoveryFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.bool.InSymbolCursorFunctionFactory,36,51,Factory Method;Decorator;State,9
io.questdb.griffin.engine.functions.math.BitwiseOrLongFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.DaysPerMonthFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.SubStringFunctionFactory,6,12,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.AbstractEmptyCatalogueFunctionFactory,6,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.LastLongGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.date.HourOfDayFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.SizePrettyFunctionFactory,9,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.NegByteFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.PrefixedAgeFunctionFactory,3,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndBinFunctionFactory,5,13,Factory Method;Decorator;(Object)Adapter,5
io.questdb.griffin.engine.functions.cast.CastLongToTimestampFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.date.MillisOfSecondFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.DumpMemoryUsageFunctionFactory,6,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDateToDoubleFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.SwappingArgsFunctionFactory,6,5,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastBooleanToLongFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.eq.EqBooleanCharFunctionFactory,2,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.math.CosDoubleFunctionFactory,4,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.date.ToTimestampFunctionFactory,1,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqDoubleFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.rnd.RndFloatFunctionFactory,4,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.cast.CastStrToShortFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.analytic.RowNumberFunctionFactory,10,19,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.cast.CastTimestampToStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.eq.EqSymStrFunctionFactory,1,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastFloatToBooleanFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.BitwiseXorIntFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqShortFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.str.StrPosCharFunctionFactory,4,11,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastBooleanToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.CountDistinctUuidGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastTimestampToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastIntToStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.MaxLongGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.analytic.RankFunctionFactory,37,59,State;Factory Method;Decorator;(Object)Adapter,8
io.questdb.griffin.engine.functions.date.PgPostmasterStartTimeFunctionFactory,6,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.conditional.NullIfCharFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqStrCharFunctionFactory,4,13,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.test.TestSumStringGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.MaxBooleanGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.conditional.SwitchFunctionFactory,27,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastSymbolToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.StrPosFunctionFactory,4,11,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.rnd.RndGeoHashFunctionFactory,8,18,Factory Method;Decorator;(Object)Adapter,7
io.questdb.griffin.engine.functions.groupby.MinIntGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastCharToLongFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.conditional.NullIfIntFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.rnd.RndByteCCFunctionFactory,3,9,Factory Method;Decorator;(Object)Adapter,4
io.questdb.griffin.engine.functions.bool.InTimestampStrFunctionFactory,5,11,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.date.ToStrDateFunctionFactory,18,15,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastIntToBooleanFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.table.TablePartitionsFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.SumIntGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDoubleToStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.str.ToCharBinFunctionFactory,3,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqLong256StrFunctionFactory,9,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.FirstShortGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.math.SubLongFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.test.TestLatchedCounterFunctionFactory,9,12,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.str.LPadFunctionFactory,8,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.catalogue.PgAttrDefFunctionFactory,21,11,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastStrToRegClassFunctionFactory,7,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.RTrimFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.bool.OrFunctionFactory,2,9,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastTimestampToSymbolFunctionFactory,10,24,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastDoubleToSymbolFunctionFactory,12,24,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastStrToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.regex.NotMatchStrFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.VersionFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.CountDistinctLong256GroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.FlushQueryCacheFunctionFactory,7,8,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastFloatToCharFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.FirstDoubleGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.lt.LtDoubleVVFunctionFactory,2,12,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastFloatToDoubleFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.cast.CastIntToLongFunctionFactory,0,6,Factory Method;Decorator,3
