Class,TotalBrokenRules,Minor,Major,Critical,Info
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/AsyncFSOutputHelper.java,1,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/FanOutOneBlockAsyncDFSOutput.java,10,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/FanOutOneBlockAsyncDFSOutputHelper.java,22,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/FanOutOneBlockAsyncDFSOutputSaslHelper.java,27,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/ProtobufDecoder.java,7,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/WrapperAsyncFSOutput.java,2,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/io/asyncfs/monitor/StreamSlowMonitor.java,1,0.0,0.0,0.0,0.0
hbase-asyncfs:src/main/java/org/apache/hadoop/hbase/util/RecoverLeaseFSUtils.java,3,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/AsyncFSTestBase.java,5,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/TestFanOutOneBlockAsyncDFSOutput.java,10,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/TestFanOutOneBlockAsyncDFSOutputHang.java,11,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/TestLocalAsyncOutput.java,3,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/TestOverwriteFileUnderConstruction.java,1,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/io/asyncfs/TestSaslFanOutOneBlockAsyncDFSOutput.java,18,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/security/HBaseKerberosUtils.java,3,0.0,0.0,0.0,0.0
hbase-asyncfs:src/test/java/org/apache/hadoop/hbase/util/TestRecoverLeaseFSUtils.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/BackupDriver.java,8,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/BackupHFileCleaner.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/BackupObserver.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/BackupRestoreFactory.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/BackupTableInfo.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/HBackupFileSystem.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/RestoreDriver.java,12,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/BackupAdminImpl.java,12,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/BackupCommands.java,89,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/BackupManager.java,11,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/BackupManifest.java,12,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/BackupSystemTable.java,40,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/FullTableBackupClient.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/IncrementalBackupManager.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/IncrementalTableBackupClient.java,6,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/RestoreTablesClient.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/impl/TableBackupClient.java,11,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceBackupCopyJob.java,18,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceBackupMergeJob.java,9,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceHFileSplitterJob.java,15,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceRestoreJob.java,5,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/master/BackupLogCleaner.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/master/LogRollMasterProcedureManager.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/regionserver/LogRollBackupSubprocedure.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/regionserver/LogRollRegionServerProcedureManager.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/util/BackupUtils.java,8,0.0,0.0,0.0,0.0
hbase-backup:src/main/java/org/apache/hadoop/hbase/backup/util/RestoreTool.java,8,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupBase.java,13,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupCommandLineTool.java,53,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupDelete.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupDeleteRestore.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupDeleteWithFailures.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupDescribe.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupHFileCleaner.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupManager.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupMerge.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupMultipleDeletes.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupRepair.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupShowHistory.java,4,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupStatusProgress.java,4,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupSystemTable.java,18,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestBackupUtils.java,3,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestFullRestore.java,7,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestIncrementalBackup.java,7,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestIncrementalBackupMergeWithFailures.java,7,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestIncrementalBackupWithBulkLoad.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestIncrementalBackupWithFailures.java,4,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestRemoteBackup.java,2,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestRepairAfterFailedDelete.java,1,0.0,0.0,0.0,0.0
hbase-backup:src/test/java/org/apache/hadoop/hbase/backup/TestRestoreBoundaryTests.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/favored/FavoredNodeAssignmentHelper.java,14,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/favored/FavoredNodeLoadBalancer.java,5,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/favored/FavoredNodesPlan.java,2,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/AssignmentVerificationReport.java,35,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/LoadBalancer.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/RackManager.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/SnapshotOfRegionAssignmentFromMeta.java,3,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/AssignRegionAction.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/BalancerClusterState.java,12,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java,8,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/CostFromRegionLoadFunction.java,2,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/CostFunction.java,2,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java,3,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/HeterogeneousRegionCountCostFunction.java,2,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/LoadCandidateGenerator.java,2,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/MoveCostFunction.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/PrimaryRegionCountSkewCostFunction.java,1,0.0,0.0,0.0,0.0
hbase-balancer:src/main/java/org/apache/hadoop/hbase/master/balancer/RegionHDFSBlockLocationFinder.java,2,0.0,0.0,0.0,0.0
